model,optimizer,hidden,dropout,lr,weight_decay,best_val_mse,test_rmse
(128-64)_0.2,adam_lr1e-3,"(128, 64)",0.2,0.001,0.0001,0.7485118257372003,0.8854219570473414
(64-32)_0.2,adam_lr1e-3,"(64, 32)",0.2,0.001,0.0001,0.8126267257489657,0.8939100363466748
(128-64)_0.2,adam_lr5e-4,"(128, 64)",0.2,0.0005,0.0001,0.9482207099596659,0.9962483497315868
(128-64)_0.4,adam_lr1e-3,"(128, 64)",0.4,0.001,0.0001,1.0584386608056855,1.0348738680587402
(64-32)_0.4,adam_lr1e-3,"(64, 32)",0.4,0.001,0.0001,1.3732819619931673,1.1115455580883675
(64-32-16)_0.2,adam_lr1e-3,"(64, 32, 16)",0.2,0.001,0.0001,1.2959657196413006,1.1359634076153755
(64-32)_0.2,adam_lr5e-4,"(64, 32)",0.2,0.0005,0.0001,1.4480407028867488,1.155464734989669
(64-32)_0.4,adam_lr5e-4,"(64, 32)",0.4,0.0005,0.0001,1.5713041058757848,1.270382014249003
(128-64)_0.4,adam_lr5e-4,"(128, 64)",0.4,0.0005,0.0001,1.6311977223346108,1.2849148263035846
(64-32-16)_0.2,adam_lr5e-4,"(64, 32, 16)",0.2,0.0005,0.0001,1.5536778328711527,1.317608619881573
(64-32-16)_0.4,adam_lr1e-3,"(64, 32, 16)",0.4,0.001,0.0001,1.8142292541370058,1.414069811957627
(64-32-16)_0.4,adam_lr5e-4,"(64, 32, 16)",0.4,0.0005,0.0001,3.783113144991691,2.056842689600566
