descriptor,delta_rmse_mean,delta_rmse_std,baseline_rmse
LogP,1.2518165113819486,0.0935772620061263,0.6566821574966741
HeavyAtomCount,0.8530908554823444,0.06999328221475755,0.6566821574966741
TPSA,0.33495409412328947,0.0415550670740304,0.6566821574966741
MolWt,0.3098181004145117,0.050769143277816196,0.6566821574966741
BertzCT,0.28552346322388467,0.04265589176391665,0.6566821574966741
HBA,0.20978870313157144,0.03678988814196963,0.6566821574966741
FractionCSP3,0.19318107872917328,0.03979350258127029,0.6566821574966741
RingCount,0.1635637594056926,0.03898173664970692,0.6566821574966741
RotB,0.08477058196167177,0.03248548642898644,0.6566821574966741
AroProp,0.08141471364800101,0.044217657462263034,0.6566821574966741
HBD,0.03368447490895649,0.024194188654958433,0.6566821574966741
